M,K,N,It1
768,256,3584,
768,256,3840,
768,256,4096,
768,512,256,
768,512,512,
768,512,768,
768,512,1024,
768,512,1280,
768,512,1536,
768,512,1792,
768,512,2048,
768,512,2304,
768,512,2560,
768,512,2816,
768,512,3072,
768,512,3328,
768,512,3584,
768,512,3840,
768,512,4096,
768,768,256,
768,768,512,
768,768,768,
768,768,1024,
768,768,1280,
768,768,1536,
768,768,1792,
768,768,2048,
768,768,2304,
768,768,2560,
768,768,2816,
768,768,3072,
768,768,3328,
768,768,3584,
768,768,3840,
768,768,4096,
768,1024,256,
768,1024,512,
768,1024,768,
768,1024,1024,
768,1024,1280,
768,1024,1536,
768,1024,1792,
768,1024,2048,
768,1024,2304,
768,1024,2560,
768,1024,2816,
768,1024,3072,
768,1024,3328,
768,1024,3584,
768,1024,3840,
768,1024,4096,
768,1280,256,
768,1280,512,
768,1280,768,
768,1280,1024,
768,1280,1280,
768,1280,1536,
768,1280,1792,
768,1280,2048,
768,1280,2304,
768,1280,2560,
768,1280,2816,
768,1280,3072,
768,1280,3328,
768,1280,3584,
768,1280,3840,
768,1280,4096,
768,1536,256,
768,1536,512,
768,1536,768,
768,1536,1024,
768,1536,1280,
768,1536,1536,
768,1536,1792,
768,1536,2048,
768,1536,2304,
768,1536,2560,
768,1536,2816,
768,1536,3072,
768,1536,3328,
768,1536,3584,
768,1536,3840,
768,1536,4096,
768,1792,256,
768,1792,512,
768,1792,768,
768,1792,1024,
768,1792,1280,
768,1792,1536,
768,1792,1792,
768,1792,2048,
768,1792,2304,
768,1792,2560,
768,1792,2816,
768,1792,3072,
768,1792,3328,
768,1792,3584,
768,1792,3840,
768,1792,4096,
768,2048,256,
768,2048,512,
768,2048,768,
768,2048,1024,
768,2048,1280,
768,2048,1536,
768,2048,1792,
768,2048,2048,
768,2048,2304,
768,2048,2560,
768,2048,2816,
768,2048,3072,
768,2048,3328,
768,2048,3584,
768,2048,3840,
768,2048,4096,
768,2304,256,
768,2304,512,
768,2304,768,
768,2304,1024,
768,2304,1280,
768,2304,1536,
768,2304,1792,
768,2304,2048,
768,2304,2304,
768,2304,2560,
768,2304,2816,
768,2304,3072,
768,2304,3328,
768,2304,3584,
768,2304,3840,
768,2304,4096,
768,2560,256,
768,2560,512,
