M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
5760_4992_4928,141.69931776,3467.083583884546,6275.93,5981.65,6424.23
5760_4992_5824,167.46283008,3665.4545454545455,6344.32,6065.52,6500.13
5760_4992_6720,193.2263424,3825.985401459854,6364.91,6231.50,6485.30
5760_4992_7616,218.98985472,3958.560639715682,6414.25,6280.18,6532.14
5760_6528_448,16.84537344,781.5735461801596,5449.65,4101.62,6355.55
5760_6528_1344,50.53612032,1867.683923705722,6108.96,5746.33,6460.77
5760_6528_2240,84.2268672,2586.566037735849,6305.68,6061.89,6516.33
5760_6528_3136,117.91761408,3097.5338928340866,6366.62,6116.69,6556.99
5760_6528_4032,151.60836096,3479.3908629441626,6372.50,6220.34,6510.43
5760_6528_4928,185.29910784,3775.583375062594,6385.29,6255.14,6505.38
5760_6528_5824,218.98985472,4012.0306168392617,6417.82,6227.49,6510.68
5760_6528_6720,252.6806016,4205.1533742331285,6447.46,6266.03,6519.28
5760_6528_7616,286.37134848,4365.859872611465,6473.79,6354.91,6563.48
6528_384_448,1.123024896,400.8421052631579,2984.86,699.27,3565.16
6528_384_1344,3.369074688,571.2,2060.88,1609.30,3640.28
6528_384_2240,5.61512448,624.2622950819672,3432.20,2623.28,5654.71
6528_384_3136,7.861174272,650.1463414634146,4788.35,4102.91,5816.63
6528_384_4032,10.107224064,665.4757281553398,5258.37,3380.91,5922.78
6528_384_4928,12.353273856,675.6129032258065,4359.06,3363.72,5709.86
6528_384_5824,14.599323648,682.8137931034482,4125.54,3338.13,4734.66
6528_384_6720,16.84537344,688.1927710843373,3716.08,2556.40,4377.70
6528_384_7616,19.091423232,692.3636363636364,3616.85,3217.02,4134.13
6528_1920_448,5.61512448,688.1927710843373,3477.43,2952.22,5578.86
6528_1920_1344,16.84537344,1410.3703703703704,5465.91,4204.51,6130.05
6528_1920_2240,28.0756224,1785.0,5860.60,5258.59,6280.20
6528_1920_3136,39.30587136,2014.3073047858943,5896.61,5029.54,6454.17
6528_1920_4032,50.53612032,2169.1139240506327,5892.16,5407.25,6258.34
6528_1920_4928,61.76636928,2280.6533575317603,5894.60,5565.29,6236.51
6528_1920_5824,72.99661824,2364.8407643312103,6009.27,5618.58,6275.50
6528_1920_6720,84.2268672,2430.6382978723404,5989.69,5594.05,6263.15
6528_1920_7616,95.45711616,2483.478260869565,6063.13,5647.51,6319.15
6528_3456_448,10.107224064,747.7527272727273,5207.83,3427.34,6023.38
6528_3456_1344,30.321672192,1685.5081967213114,5810.26,5116.29,6366.76
6528_3456_2240,50.53612032,2249.8030634573306,6071.37,5242.06,6454.17
6528_3456_3136,70.750568448,2626.6861313868612,6173.73,5838.95,6520.79
6528_3456_4032,90.965016576,2896.225352112676,6173.00,5813.58,6443.19
6528_3456_4928,111.179464704,3098.564383561644,6153.46,5939.39,6357.84
6528_3456_5824,131.393912832,3256.0487210718634,6230.34,6061.86,6397.44
6528_3456_6720,151.60836096,3382.1052631578946,6246.87,6061.79,6406.03
6528_3456_7616,171.822809088,3485.2881355932204,6310.81,6129.63,6478.38
6528_4992_448,14.599323648,773.5,5189.60,3940.44,6126.45
6528_4992_1344,43.797970944,1822.2331288343557,6007.87,5432.64,6398.07
6528_4992_2240,72.99661824,2500.2020202020203,6229.44,5863.42,6504.49
6528_4992_3136,102.195265536,2974.489270386266,6342.77,6016.09,6556.86
6528_4992_4032,131.393912832,3324.89552238806,6324.87,6097.45,6502.72
6528_4992_4928,160.592560128,3594.3498349834986,6293.47,6068.23,6451.96
6528_4992_5824,189.791207424,3808.0,6380.35,6252.59,6520.47
6528_4992_6720,218.98985472,3981.554959785523,6402.17,6202.01,6510.48
6528_4992_7616,248.188502016,4125.333333333333,6421.42,6282.06,6523.47
6528_6528_448,19.091423232,787.8620689655172,5668.37,4609.23,6259.48
6528_6528_1344,57.274269696,1904.0,6174.54,5817.30,6501.79
6528_6528_2240,95.45711616,2656.7441860465115,6347.04,6022.15,6532.12
6528_6528_3136,133.639962624,3198.72,6393.78,6203.84,6533.20
6528_6528_4032,171.822809088,3607.5789473684213,6402.19,6044.46,6570.54
6528_6528_4928,210.005655552,3927.0,6411.60,6294.10,6512.61
6528_6528_5824,248.188502016,4183.43661971831,6436.23,6165.79,6519.27
6528_6528_6720,286.37134848,4393.846153846154,6470.96,6378.98,6564.09
6528_6528_7616,324.554194944,4569.6,6489.28,6392.57,6567.66
7296_384_448,1.255145472,402.1417322834646,921.37,683.44,3106.80
7296_384_1344,3.765436416,573.8426966292135,2382.86,1994.40,5421.79
7296_384_2240,6.27572736,627.4201474201474,3780.91,2343.00,4901.00
7296_384_3136,8.786018304,653.5722120658136,5123.63,4084.62,5681.23
7296_384_4032,11.296309248,669.0655021834061,4598.26,3252.14,5948.56
7296_384_4928,13.806600192,679.3131801692866,4525.60,3214.58,5588.59
7296_384_5824,16.316891136,686.5935884177869,4023.61,3320.15,4632.85
7296_384_6720,18.82718208,692.0325203252032,3736.75,2897.60,4267.75
7296_384_7616,21.337473024,696.2502004811548,3620.41,3185.89,4146.82
7296_1920_448,6.27572736,692.0325203252032,3954.17,2818.02,5802.80
7296_1920_1344,18.82718208,1426.5921787709497,5678.50,4955.83,6221.81
7296_1920_2240,31.3786368,1811.063829787234,5904.44,4824.14,6364.19
7296_1920_3136,43.93009152,2047.5601374570447,5911.65,5465.30,6392.62
7296_1920_4032,56.48154624,2207.7233429394814,5902.65,5301.19,6261.81
7296_1920_4928,69.03300096,2323.3746898263025,5976.07,5604.92,6337.37
7296_1920_5824,81.58445568,2410.806100217865,5996.24,5694.06,6340.60
7296_1920_6720,94.1359104,2479.223300970874,6009.31,5395.23,6278.87
7296_1920_7616,106.68736512,2534.220665499124,6131.16,5827.36,6374.53
7296_3456_448,11.296309248,752.2880523731587,4868.46,3320.49,5881.96
7296_3456_1344,33.888927744,1708.728624535316,5815.37,4926.43,6389.31
7296_3456_2240,56.48154624,2291.3659022931206,6140.70,5762.54,6499.60
7296_3456_3136,79.074164736,2683.516263552961,6220.66,5854.53,6523.73
