M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
6720_1440_1920,18.579456,733.0909090909091,2635.65,2335.28,2776.99
6720_1440_3456,33.4430208,882.9197080291971,2701.28,2604.39,2800.10
6720_1440_4992,48.3065856,958.2449725776966,2743.32,2666.66,2821.32
6720_1440_6528,63.1701504,1003.5724743777453,2767.52,2609.47,2826.22
6720_2080_384,5.3673984,309.23893805309734,2178.76,1432.64,2691.10
6720_2080_1920,26.836992,869.2537313432836,2685.35,2461.09,2810.89
6720_2080_3456,48.3065856,1088.2214532871972,2746.50,2647.66,2814.58
6720_2080_4992,69.7761792,1204.9655172413793,2775.24,2686.44,2826.95
6720_2080_6528,91.2457728,1277.5225806451613,2795.13,2745.39,2829.41
6720_2720_384,7.0189056,320.44880785413744,2299.47,1903.69,2716.29
6720_2720_1920,35.094528,964.0506329113924,2707.74,2544.00,2810.82
6720_2720_3456,63.1701504,1240.9897404948701,2776.95,2708.43,2832.04
6720_2720_4992,91.2457728,1395.1338656646312,2791.87,2729.17,2829.85
6720_2720_6528,119.3213952,1493.3333333333333,2801.03,2769.06,2825.35
6720_3360_384,8.6704128,327.8048780487805,2492.22,2093.80,2733.85
6720_3360_1920,43.352064,1033.8461538461538,2745.61,2625.65,2832.26
6720_3360_3456,78.0337152,1359.1011235955057,2789.21,2744.38,2827.10
6720_3360_4992,112.7153664,1546.1946902654868,2801.25,2735.18,2832.61
6720_3360_6528,147.3970176,1667.7372262773722,2791.10,2740.38,2813.38
6720_4000_384,10.32192,333.0029732408325,2472.19,1990.54,2747.38
6720_4000_1920,51.6096,1087.378640776699,2768.49,2628.45,2833.12
6720_4000_3456,92.89728,1453.1475252282557,2800,2720,2839
6720_4000_4992,134.18496,1669.086740542606,2809.96,2771.21,2834.88
6720_4000_6528,175.47264,1811.6079923882016,2779,2747,2796
6720_4640_384,11.9734272,336.8712186689715,2512.54,2237.19,2730.85
6720_4640_1920,59.867136,1129.7391304347825,2781,2631,2844
6720_4640_3456,107.7608448,1529.8037505451373,2809,2735,2842
6720_4640_4992,155.6545536,1771.0171268787137,2812,2777,2834
6720_4640_6528,203.5482624,1932.3184601924759,2817,2784,2832
6720_5280_384,13.6249344,339.86206896551727,2569,2246,2773
6720_5280_1920,68.124672,1164.0944881889764,2789,2684,2835
6720_5280_3456,122.6244096,1593.4850299401198,2813,2758,2842
6720_5280_4992,177.1241472,1856.927536231884,2812,2770,2831
6720_5280_6528,231.6238848,2035.0445344129555,2834,2809,2848
6720_5920_384,15.2764416,342.2436338609773,2574,2263,2766
6720_5920_1920,76.382208,1192.5179856115108,2796,2701,2843
6720_5920_3456,137.4879744,1647.2285609127714,2814,2749,2841
6720_5920_4992,198.5937408,1930.3194983577187,2825,2789,2844
6720_5920_6528,259.6995072,2123.5267520723437,2840,2818,2852
6720_6560_384,16.9279488,344.1848844472205,2639,2411,2796
6720_6560_1920,84.639744,1216.4238410596026,2808,2745,2847
6720_6560_3456,152.3515392,1693.1922157733015,2825,2789,2845
6720_6560_4992,220.0633344,1993.7433899248538,2819,2800,2835
6720_6560_6528,287.7751296,2200.5355884425653,2839,2823,2850
6720_7200_384,18.579456,345.7975986277873,2646,2393,2776
6720_7200_1920,92.89728,1236.8098159509202,2812,2761,2844
6720_7200_3456,167.215104,1732.9512893982808,2822,2768,2843
6720_7200_4992,241.532928,2049.1008600469117,2832,2808,2846
6720_7200_6528,315.850752,2268.1667769688947,2847,2833,2857
6720_7840_384,20.2309632,347.15867158671585,2643,2417,2780
6720_7840_1920,101.154816,1254.4,2815,2734,2850
6720_7840_3456,182.0786688,1767.6826722338205,2825,2778,2844
6720_7840_4992,263.0025216,2097.8387650085765,2838,2812,2850
6720_7840_6528,343.9263744,2328.0349344978167,2850,2839,2859
